order,date,attacks,deaths
1,1854-08-19,1,1
2,1854-08-20,1,0
3,1854-08-21,1,2
4,1854-08-22,0,0
5,1854-08-23,1,0
6,1854-08-24,1,2
7,1854-08-25,0,0
8,1854-08-26,1,0
9,1854-08-27,1,1
10,1854-08-28,1,0
11,1854-08-29,1,1
12,1854-08-30,8,2
13,1854-08-31,56,3
14,1854-09-01,143,70
15,1854-09-02,116,127
16,1854-09-03,54,76
17,1854-09-04,46,71
18,1854-09-05,36,45
19,1854-09-06,20,37
20,1854-09-07,28,32
21,1854-09-08,12,30
22,1854-09-09,11,24
23,1854-09-10,5,18
24,1854-09-11,5,15
25,1854-09-12,1,6
26,1854-09-13,3,13
27,1854-09-14,0,6
28,1854-09-15,1,8
29,1854-09-16,4,6
30,1854-09-17,2,5
31,1854-09-18,3,2
32,1854-09-19,0,3
33,1854-09-20,0,0
34,1854-09-21,2,0
35,1854-09-22,1,2
36,1854-09-23,1,3
37,1854-09-24,1,0
38,1854-09-25,1,0
39,1854-09-26,1,2
40,1854-09-27,1,0
41,1854-09-28,0,2
42,1854-09-29,0,1
43,1854-09-30,0,0