Month,Kim Kardashian: (Worldwide),Khloé Kardashian: (Worldwide),Kourtney Kardashian: (Worldwide),Kendall Jenner: (Worldwide),Kylie Jenner: (Worldwide)
2007-01,2,<1,<1,<1,2
2007-02,12,<1,<1,<1,2
2007-03,9,<1,<1,<1,1
2007-04,6,<1,<1,<1,1
2007-05,6,<1,<1,<1,2
2007-06,5,<1,<1,<1,1
2007-07,6,<1,<1,<1,1
2007-08,6,<1,<1,<1,1
2007-09,7,<1,<1,<1,1
2007-10,13,<1,<1,<1,2
2007-11,17,<1,<1,<1,2
2007-12,17,<1,1,<1,2
2008-01,13,<1,<1,<1,2
2008-02,10,<1,<1,<1,2
2008-03,14,<1,<1,<1,1
2008-04,15,<1,<1,<1,2
2008-05,15,<1,<1,<1,2
2008-06,13,<1,<1,<1,2
2008-07,12,1,<1,<1,2
2008-08,16,<1,<1,<1,1
2008-09,14,<1,<1,<1,1
2008-10,13,<1,<1,<1,1
2008-11,11,<1,<1,<1,1
2008-12,12,1,<1,<1,1
2009-01,12,<1,<1,<1,1
2009-02,10,<1,<1,<1,1
2009-03,14,1,1,<1,1
2009-04,15,1,1,<1,1
2009-05,15,1,1,<1,1
2009-06,12,1,1,<1,1
2009-07,15,1,1,<1,1
2009-08,16,2,4,<1,1
2009-09,14,7,3,<1,1
2009-10,13,4,3,<1,1
2009-11,14,3,2,<1,1
2009-12,16,3,3,<1,1
2010-01,19,2,2,<1,1
2010-02,20,2,3,1,1
2010-03,18,2,2,<1,1
2010-04,25,2,2,<1,1
2010-05,20,2,1,<1,1
2010-06,22,4,3,1,1
2010-07,22,4,4,1,2
2010-08,26,4,4,2,1
2010-09,25,3,2,1,1
2010-10,28,3,2,1,1
2010-11,22,2,2,1,1
2010-12,26,3,3,1,1
2011-01,27,3,3,1,1
2011-02,34,2,4,1,1
2011-03,22,2,3,1,1
2011-04,19,4,3,1,1
2011-05,23,4,2,1,1
2011-06,25,5,2,1,1
2011-07,22,3,2,1,1
2011-08,44,3,3,3,2
2011-09,29,3,2,2,1
2011-10,36,3,3,1,1
2011-11,51,3,4,2,1
2011-12,32,4,6,2,2
2012-01,29,6,6,2,1
2012-02,26,4,4,1,1
2012-03,26,4,3,2,1
2012-04,28,5,3,2,1
2012-05,27,5,3,2,2
2012-06,32,3,4,2,2
2012-07,27,3,7,3,2
2012-08,29,3,4,3,2
2012-09,26,4,4,2,2
2012-10,25,4,3,2,2
2012-11,24,5,3,2,2
2012-12,29,3,2,2,2
2013-01,37,4,4,2,2
2013-02,29,3,4,2,2
2013-03,34,3,4,2,3
2013-04,35,3,4,2,2
2013-05,32,3,3,3,2
2013-06,61,4,3,3,3
2013-07,30,5,3,3,3
2013-08,28,7,4,3,4
2013-09,23,7,2,2,3
2013-10,33,6,2,3,3
2013-11,28,5,2,7,3
2013-12,27,6,2,6,3
2014-01,24,6,2,5,3
2014-02,22,5,2,7,3
2014-03,25,5,2,4,4
2014-04,24,4,2,3,4
2014-05,36,5,2,5,6
2014-06,33,6,5,6,6
2014-07,35,6,3,4,5
2014-08,37,5,3,5,6
2014-09,45,4,4,6,5
2014-10,28,4,2,4,6
2014-11,100,7,5,5,8
2014-12,39,6,8,6,8
2015-01,32,5,4,6,10
2015-02,40,6,3,7,12
2015-03,36,5,3,6,10
2015-04,31,5,3,9,26
2015-05,33,5,3,9,16
2015-06,37,5,3,8,13
2015-07,32,7,8,8,17
2015-08,33,6,4,8,25
2015-09,30,5,3,7,20
2015-10,27,12,4,7,14
2015-11,25,7,4,11,18
2015-12,38,7,8,9,18
2016-01,27,8,5,11,15
2016-02,29,8,3,8,17
2016-03,45,6,4,8,17
2016-04,25,5,3,8,21
2016-05,25,5,4,7,22
2016-06,25,7,3,7,19
2016-07,31,6,4,6,21
2016-08,27,4,3,7,23
2016-09,25,5,2,6,17
2016-10,42,5,2,5,17
2016-11,20,5,2,7,21
2016-12,21,4,3,6,20
2017-01,21,4,3,5,16
2017-02,17,3,2,4,14
2017-03,15,3,2,4,11
2017-04,21,3,3,8,14
2017-05,17,3,4,6,12
2017-06,16,5,2,4,13
2017-07,17,3,2,4,12
2017-08,15,3,2,4,16
2017-09,17,6,2,4,31
2017-10,19,5,3,5,16
2017-11,20,5,2,4,14
2017-12,17,6,3,3,16
2018-01,24,6,3,4,18
2018-02,21,5,3,4,36
2018-03,16,5,3,4,12
2018-04,19,23,3,4,11
2018-05,17,7,2,5,12
2018-06,17,4,2,4,8
2018-07,16,4,3,4,17
2018-08,19,4,5,4,14
2018-09,14,3,2,6,9
2018-10,15,3,2,3,8
2018-11,16,4,2,4,10
2018-12,14,3,2,4,9
2019-01,14,3,2,4,10
2019-02,13,9,2,4,14
2019-03,12,10,2,3,16