id,author,status
272,Justin Trudeau,Prochain arrêt : Da Nang pour l’#APEC2017. Voici un résumé de ma visite jusqu’à maintenant : https://t.co/zzJlktn655
273,Justin Trudeau,Ending a busy day at the People’s Committee HQ – thanks to Chairman Nguyễn Thành Phong for the meeting today. https://t.co/Y6bMHoaEpD
274,Justin Trudeau,On termine une journée bien remplie au siège du Comité populaire. Merci au président Nguyễn Thành Phong pour la ren… https://t.co/pbTiNcXUDQ
275,Justin Trudeau,My thanks to Nguyen Cong Hiep from the Canadian Consulate for showing me around the streets of Ho Chi Minh City tod… https://t.co/psqGztQWmN
276,Justin Trudeau,"Merci à Nguyen Cong Hiep, du consulat canadien, pour m’avoir fait découvrir les rues de Hô Chi Minh-Ville aujourd’h… https://t.co/Lq6rwoABEP"
277,Justin Trudeau,"At the Ton Duc Thang University, speaking with students about growing our economies and getting the most out of the… https://t.co/W14aVTXPPf"
278,Justin Trudeau,À l’université Ton Duc Thang pour parler aux étudiants de croissance économique et de l’importance de profiter au m… https://t.co/hk6Z5nC4P9
279,Justin Trudeau,RT @jyduclos: New parents: Our government is introducing more flexible #maternity and parental benefits! https://t.co/vFPmsvSlgC https://t.…
280,Justin Trudeau,RT @jyduclos: Nouveaux parents : Notre gouvernement introduit des prestations de #maternité et parentales plus souples! https://t.co/5EgMaM…
281,Justin Trudeau,Roundtable with business leaders - talking about how trade will create more jobs &amp; opportunities for people in Cana… https://t.co/5CgzX2ZW2k
282,Justin Trudeau,Table ronde avec des dirigeants d’entreprise – au sujet du commerce comme source d’emplois et de débouchés pour les… https://t.co/NdBfQoEJpy
283,Justin Trudeau,RT @VNXAllshares: 🎉🎆Listed Companies on Hochiminh Stock Exchange should be ready on increasing trade &amp; fintech with Canadian partners 🍁🍁&amp; s…
284,Justin Trudeau,Day 2 in Vietnam! Opening trading at the Ho Chi Minh City Stock Exchange. https://t.co/3rscbV5PyN
285,Justin Trudeau,Jour 2 au Vietnam ! Ouverture de la bourse à Hô Chi Minh-Ville. https://t.co/KsYVEofrsv
286,Justin Trudeau,#TBT to a backpacking trip in Vietnam many years ago… my thanks to the Canadian Embassy for pulling out the old gue… https://t.co/hnKgkdTZik
287,Justin Trudeau,"#JeudiRétro : Voyage en sac à dos au Vietnam, il y a très longtemps. Merci à l’Ambassade canadienne d’avoir sorti l… https://t.co/9Mjpxo0BGK"
288,Justin Trudeau,RT @JulieDzerowicz: So proud that my Private Member’s Bill M-126 has passed unanimously in @OurCommons to recognize Portuguese Heritage Mon…
289,Justin Trudeau,"RT @DrRobbieO: MWO Lemay &amp; Lt(N) Tremblay, old comrades from my military career were in #Parliament being honoured for their sele… https://…"
290,Justin Trudeau,RT @SherryRomanado: Honoured to be leading the Government of Canada delegation to Belgium for the commemorative events for the 100th annive…
291,Justin Trudeau,RT @SherryRomanado: Un honneur de représenter le Gouvernement du Canada pour les commémorations du centenaire de la Bataille de Passchendae…
292,Justin Trudeau,RT @AsiaPacificFdn: Our PM @JustinTrudeau is at his welcoming gala in Vietnam for #APEC2017! Photo by our CEO @Stewartbeck https://t.co/IG0…
293,Justin Trudeau,"RT @KirstyDuncanMP: Understanding how a changing climate affects the Arctic matters now more than ever. Today, @cathmckenna &amp; I announced f…"
294,Justin Trudeau,"RT @KirstyDuncanMP: Il est important de comprendre comment les effets d’un climat en changement affectent l’Arctique. Aujourd’hui, @cathmck…"
295,Justin Trudeau,"We’re focused on a variety of issues, including trade &amp; advancing human rights. My thanks to President Trần Đại Qua… https://t.co/dQVKrjXfi3"
296,Justin Trudeau,"Nous sommes axés sur une série d’enjeux, notamment le commerce et les droits de la personne. Merci au président Trầ… https://t.co/CSpVKkxlIG"
297,Justin Trudeau,RT @FP_Champagne: Getting down to biz on competitive &amp; beneficial trade on both sides of Pacific with 🇯🇵 Au travail pour + d'échanges fruct…
298,Justin Trudeau,RT @cafreeland: Asia-Pacific is a critical engine for the global economy. Working on trade and security in this dynamic region. #APEC2017 h…
299,Justin Trudeau,RT @cafreeland: L'Asie-Pacifique est essentielle pour l'économie mondiale. Nous travaillons sur le commerce et la sécurité dans cette régio…
300,Justin Trudeau,"I also sat down with the Chair of the National Assembly, Nguyễn Thị Kim Ngân, to talk about promoting the rights of… https://t.co/uLLW10B5oF"
301,Justin Trudeau,"J’ai également discuté avec Nguyễn Thị Kim Ngân, présidente de l’Assemblée nationale, pour parler de la promotion d… https://t.co/rX2cMAfisM"
302,Justin Trudeau,"This afternoon, I met with Vietnam’s Secretary General of the Communist Party, Nguyễn Phú Trọng, to build on the st… https://t.co/HabTaRgnyo"
303,Justin Trudeau,"Cet après-midi, j’ai rencontré Nguyễn Phú Trọng, secrétaire général du Parti communiste du Vietnam, pour resserrer… https://t.co/mOWeTsdPWJ"
304,Justin Trudeau,Visit to Ho Chi Minh’s stilt house near the Presidential Palace earlier today. https://t.co/8l1mrGVXy2
305,Justin Trudeau,"Visite de la maison sur pilotis de Hô Chi Minh, près du Palais présidentiel, plus tôt aujourd’hui. https://t.co/MaYrrsccdS"
306,Justin Trudeau,"We had a good first meeting today, talking trade and how we can work together to create more jobs &amp; opportunities f… https://t.co/fMeaAw9Bon"
307,Justin Trudeau,"Une première rencontre fructueuse, autour du commerce et de notre collaboration afin de créer plus d’emplois et de… https://t.co/yvurolUuTb"
308,Justin Trudeau,Busy first day in Vietnam. Thanks to Prime Minister Nguyễn Xuân Phúc for the warm welcome at the Presidential Palac… https://t.co/ne0pc3e29p
309,Justin Trudeau,Première journée bien remplie au Vietnam. Merci au premier ministre Nguyễn Xuân Phúc pour l’accueil chaleureux au P… https://t.co/WxHCvqoUfA
310,Justin Trudeau,RT @janephilpott: Aboriginal Veterans Day was first observed in 1994 to honour the contributions and sacrifices that Indigenous peoples hav…
311,Justin Trudeau,"RT @SeamusORegan: Aujourd'hui nous rendons aux hommes et femmes des Premières Nations, Métis et Inuit qui ont servi le Canada avec fierté e…"
312,Justin Trudeau,"RT @liberal_party: On Aboriginal Veterans Day, we salute the Indigenous men &amp; women who have served. #CanadaRemembers #LestWeForget https:/…"
313,Justin Trudeau,RT @parti_liberal: Journée des vétérans autochtones : nous rendons hommage aux hommes et femmes autochtones qui ont servi. #LeCanadaseSouvi…
314,Justin Trudeau,Thank you to all Indigenous veterans who served and continue to serve with pride. #CanadaRemembers https://t.co/adCnU1Mo22
315,Justin Trudeau,Merci à tous les vétérans autochtones qui ont servi leur pays et qui continuent de le servir avec fierté.… https://t.co/hvaetHTdFi
316,Justin Trudeau,RT @BlueJays: Statement from the Blue Jays organization on the tragic passing of Roy Halladay: https://t.co/Ih8D0RQE9p
317,Justin Trudeau,"RT @cathmckenna: 13 year old @StellaBowles saw a problem, and decided to fix it. Who else is inspired after hearing her story? https://t.co…"
318,Justin Trudeau,"RT @cathmckenna: .@StellaBowles, 13 ans, a vu un problème et a décidée de le résoudre. Je suis tellement inspirée! https://t.co/OteYl6BH45…"
319,Justin Trudeau,RT @Carolyn_Bennett: .@ITK_CanadaInuit &amp; others say solutions for robust Arctic are in the North. We agree! WATCH: https://t.co/u1wuB719vn…
320,Justin Trudeau,RT @Carolyn_Bennett: .@ITK_CanadaInuit &amp; parmi d’autres disent que les solutions doivent provenir du Nord. Ns sommes d’accord! Regardez: ht…
321,Justin Trudeau,Happy 150th birthday to Marie Curie! Learn more about this trailblazer and her legacy. #WomenInSTEM https://t.co/VYccVK9mKk
322,Justin Trudeau,Heureux 150e anniversaire à Marie Curie! Découvrez la vie et l’œuvre de cette pionnière. #FemmesEnSTIM https://t.co/K4LTAsYz6F
323,Justin Trudeau,"RT @PattyHajdu: Focusing on prevention, increasing responsiveness &amp; expanding support will help keep more Canadians safe at work: https://t…"
324,Justin Trudeau,"RT @PattyHajdu: Se pencher sur la prévention, augmenter la sensibilisation et accroitre le support amélioreront la sécurité des Canadiens a…"
325,Justin Trudeau,"Somewhere over Canada last night... (if you haven’t seen the Northern Lights in person, I highly recommend it. Come… https://t.co/Uuecznd0km"
326,Justin Trudeau,"We’re on our way to Hanoi... to start a busy week in Vietnam &amp; the Philippines focused on APEC, trade and advancing human rights."
327,Justin Trudeau,Quelque part au-dessus du Canada hier soir... (je recommande à ceux qui n’ont jamais vu d’aurore boréale de venir n… https://t.co/jCbJFlWGZw
328,Justin Trudeau,"On est en route vers Hanoï pour une semaine chargée au Vietnam et aux Philippines axée sur l’ APEC, le commerce et les droits de la personne"
329,Justin Trudeau,RT @AbbyPoliceDept: #abbypd fallen officer and hero Cst. John Davidson. https://t.co/qNCDHjcemM https://t.co/cQGMRAEElf
330,Justin Trudeau,"Leonard Cohen was not only an ambassador of Montreal, but of Canada. Last night, we paid tribute to his legacy. https://t.co/VK6d2mm7ek"
331,Justin Trudeau,"Leonard Cohen était un ambassadeur de Montréal, mais aussi du Canada tout entier. Hier soir, nous avons honoré sa m… https://t.co/WnU5t5xLnj"
332,Justin Trudeau,"RT @SeamusORegan: 117,000 poppies fall to honour each of 🇨🇦's fallen since the beginning of the First World War.

#CanadaRemembers @RoyalCd…"
333,Justin Trudeau,"RT @SeamusORegan: 117 000 coquelicots défilent en mémoire des 🇨🇦 tombés depuis le début de le 1ere GM. 

#Lecanadasesouvient @RoyalCdnLegio…"
334,Justin Trudeau,Police work in harm's way to protect us all. My deepest sympathies to the family of the @AbbyPoliceDept officer killed in the line of duty.
335,Justin Trudeau,La police se met en danger pour nous protéger. Mes sincères condoléances à la famille de l’agent @AbbyPoliceDept tué en faisant son devoir.
336,Justin Trudeau,"Today, I spoke with Governor @GregAbbott_TX to offer condolences for Sunday's shooting in Texas: https://t.co/aRheQIF6ki"
337,Justin Trudeau,"Aujourd’hui, j’ai offert mes condoléances au gouverneur @GregAbbott_TX pour la fusillade de dimanche au Texas : https://t.co/td0bwITINq"
338,Justin Trudeau,Ten years of community work pays off! Good to chat with newly elected @Val_Plante about her experiences &amp; plans for… https://t.co/6fXP9VGR3C
339,Justin Trudeau,"Dix ans de travail dans la communauté, ça rapporte! Belle discussion avec la mairesse élue @Val_Plante sur ses plan… https://t.co/tEmwO2ilaj"
340,Justin Trudeau,"Thanks, Filippo, for your partnership and focus on the crisis in Myanmar and helping the world’s most vulnerable. https://t.co/RciyO3LlYi"
341,Justin Trudeau,"Merci, Filippo, de votre collaboration, de votre travail entourant la crise au Myanmar et de votre aide aux plus vu… https://t.co/Zf2Y2J7RIm"
342,Justin Trudeau,My thanks to Cardinal @gclacroix for the meeting in Ottawa this morning - it was nice to see you again. https://t.co/eThGAThNpA
343,Justin Trudeau,Merci au cardinal @gclacroix pour la rencontre de ce matin à Ottawa. Ce fut un plaisir de vous revoir. https://t.co/O7XQ6osCo1
344,Justin Trudeau,RT @CanadianPM: Watch live: PM Justin Trudeau marks the 150th anniversary of the first sitting of the House of Commons. #cdnpoli https://t.…
345,Justin Trudeau,RT @PMcanadien: En direct: le PM Trudeau souligne le 150e anniversaire de la 1re séance de la Chambre des communes. #polcan https://t.co/I4…
346,Justin Trudeau,"Today, we announce details of the new National Security and Intelligence Committee of Parliamentarians: https://t.co/Kthly41UYm"
347,Justin Trudeau,Voici les détails à propos du nouveau comité parlementaire chargé de la sécurité nationale et du renseignement : https://t.co/4RzkIXk3wr
348,Justin Trudeau,"Talking trade, gender equality &amp; climate change with Canada’s Ambassador-designate to France, @HudonIsabelle, this… https://t.co/idGywGyQ6T"
349,Justin Trudeau,"Bonne discussion ce matin avec notre ambassadrice désignée pour la France @HudonIsabelle sur le commerce, l'égalité… https://t.co/iqjGwOhXt0"
350,Justin Trudeau,"You’re in our thoughts, @DenisLemieuxLib. My thanks for your service &amp; hard work for the people of Chicoutimi—Le Fjord. You’ll be missed."
351,Justin Trudeau,Nos pensées accompagnent @DenisLemieuxLib. Merci d’avoir servi la population de Chicoutimi—Le Fjord. Vous allez nous manquer.
352,Justin Trudeau,@Val_Plante And congratulations to Régis Labeaume - re-elected mayor of Quebec City. Hope to see you again soon.
353,Justin Trudeau,"Congratulations @Val_Plante, first-ever woman elected mayor of Montreal! I'm looking forward to working together on our shared priorities."
354,Justin Trudeau,"@Val_Plante Et félicitations à Régis Labeaume – réélu maire de Québec. On se revoit bientôt, j’espère."
355,Justin Trudeau,"Félicitations à @Val_Plante, toute première femme élue mairesse de Montréal ! J’ai hâte qu’on travaille ensemble à nos priorités communes."
356,Justin Trudeau,Canada stands in solidarity with our neighbours during this difficult time. Full statement: https://t.co/Vt2UtBTXSv
357,Justin Trudeau,Le Canada offre sa solidarité à ses voisins face à cette épreuve. Voici ma déclaration : https://t.co/qkWCuJjCiw
358,Justin Trudeau,Canadians send their condolences to those affected by today's tragic church shooting in Texas - we wish a full recovery to the injured.
359,Justin Trudeau,De terribles nouvelles du Texas aujourd’hui. Mes plus sincères condoléances aux personnes touchées - prompt rétablissement aux blessés.
360,Justin Trudeau,Félicitations Georges! Like you never left. You've made us proud once again. 🇨🇦 https://t.co/eK1GA5w2og
361,Justin Trudeau,"Félicitations Georges ! De retour comme avant, pour encore nous remplir de fierté. 🇨🇦 https://t.co/SNxXIPpiyc"
362,Justin Trudeau,Announcing 4 by-elections! Get the details: https://t.co/15PNFkmoE0
363,Justin Trudeau,On annonce 4 élections partielles ! Voyez où elles auront lieu : https://t.co/TmMmDBudnW
364,Justin Trudeau,"RT @SeamusORegan: November 5 - 11 is Veterans' Week.

Join me and millions of Canadians as we honour them. Because #CanadaRemembers https:/…"
365,Justin Trudeau,"RT @SeamusORegan: La semaine des Vétérans est du 5 au 11 nov.

Joignez à moi et à des millions de 🇨🇦 pour leur rendre hommage. Parce que #l…"
366,Justin Trudeau,2 years ago today. Thank you for your support - we're going to keep working hard for Canadians every single day. https://t.co/8RCRwCvRkE
367,Justin Trudeau,"C’était il y a 2 ans. Merci pour l’appui - nous continuerons à travailler fort pour les Canadiens, tous les jours. https://t.co/UK7RcEN6lB"
368,Justin Trudeau,"RT @HarjitSajjan: Celebrating the birth of Guru Nanak Dev Ji, founder of Sikhism, by donating food and volunteering at the @SevaFoodBank  i…"
369,Justin Trudeau,RT @AhmedDHussen: Très heureux d'accueillir mon ami @RefugeesChief Fillipo Grandi à Montréal! J'ai bien hâte de vous revoir dans la belle C…
370,Justin Trudeau,"Today, we join Sikhs in Canada &amp; around the world to celebrate the birth of Guru Nanak Dev Ji: https://t.co/uXOTPsLNSW"
371,Justin Trudeau,"Aujourd’hui, nous nous joignons au sikhs du Canada et du monde pour célébrer la naissance de Guru Nanak Dev Ji : https://t.co/zfuVFT7QZE"
372,Justin Trudeau,We’re working together to address the issues that matter most to youth from Nishnawbe Aski Nation. Thanks for meeti… https://t.co/KFeKM4wfmh
373,Justin Trudeau,Nous cherchons à résoudre les enjeux qui comptent le plus pour les jeunes de la Nation Nishnawbe Aski. Merci de la… https://t.co/zWybCBjjy7
374,Justin Trudeau,RT @NANComms: Meegwetch @JustinTrudeau @janephilpott @Carolyn_Bennett for meeting with NAN youth! @gcfiddler @DGCAnnaBetty https://t.co/spt…
375,Justin Trudeau,"RT @CQualtro: Congrats @amazonca on your Vancouver expansion project
&amp; the creation of 1000 new jobs. The kind of jobs that our communities…"
376,Justin Trudeau,RT @CQualtro: Félicitations #Amazon pour l'expansion &amp; la création de 1000 nouveaux emplois à Vancouver. De bons emplois qui donnent vie à…
377,Justin Trudeau,Today we gathered at the National Cemetery of Canada to remember #Passchendaele100 &amp; pay tribute to all who have an… https://t.co/kdp4zwMYnf
378,Justin Trudeau,Nous nous sommes réunis au Cimetière national du Canada pour penser à #Passchendaele100 et honorer ceux qui ont rép… https://t.co/y6w1aQAQEa
379,Justin Trudeau,"Welcome to Ottawa, @USAmbCanada Craft - just in time for winter! Here's to a warm relationship between 🇨🇦 &amp; 🇺🇸 no m… https://t.co/4WIr5IMVK3"
380,Justin Trudeau,"Bienvenue à Ottawa @USAmbCanada Craft, juste à temps pour l’hiver! Que la relation 🇨🇦 🇺🇸 soit chaleureuse peu impor… https://t.co/FVsHpQPlr5"
381,Justin Trudeau,"In Brampton with @RajLiberal today, speaking with families about how a stronger CCB helps them make ends meet:… https://t.co/83jfVa5kR3"
382,Justin Trudeau,À Brampton avec @RajLiberal pour expliquer aux familles comment l’ACE améliorée les aide à joindre les deux bouts:… https://t.co/ATNSPrULpc
383,Justin Trudeau,RT @LindaJeffrey: Hosting PM @JustinTrudeau in Brampton today! Always a pleasure having the Prime Minister in our community and working wit…
384,Justin Trudeau,How do we build a better country &amp; future for our children? The answer is simple: by investing in Canadians. More f… https://t.co/ARFuFYNUhV
385,Justin Trudeau,Comment bâtir un pays et un avenir meilleurs pour nos enfants ? La réponse est simple : en investissant dans les Ca… https://t.co/3BopqTiWUP
386,Justin Trudeau,"Next week, I’ll travel to Vietnam &amp; the Philippines to meet with our partners in the Asia-Pacific region: https://t.co/2lfS06bUS9"
387,Justin Trudeau,"La semaine prochaine, j’irai au Vietnam et aux Philippines pour rencontrer nos partenaires de l’Asie-Pacifique: https://t.co/yvDneOuuOe"
388,Justin Trudeau,Discussing the jobs &amp; opportunities AI creates with tech leaders at #GoNorth17. Thanks for sharing your ideas and i… https://t.co/dUDKyaz5H3
389,Justin Trudeau,On parle des emplois et des possibilités liés à l’IA avec des leaders technologiques à #GoNorth17. Merci de vos idé… https://t.co/1OiD3ea7IY
390,Justin Trudeau,"@SeamusORegan We’re all thinking of you, @SeamusORegan! Get well soon, my friend."
391,Justin Trudeau,"@SeamusORegan Nous pensons à toi, @SeamusORegan! Prompt rétablissement, mon ami."
392,Justin Trudeau,RT @NavdeepSBains: Advancing our leadership in #AI will create #jobs of the future &amp; grow the economy. Thanks @googlecanada for having me #…
393,Justin Trudeau,RT @NavdeepSBains: Le leadership 🇨🇦 en #IA créer des #emplois pour l’avenir + fera croître l’économie. Merci @googlecanada pour votre accue…
394,Justin Trudeau,"Great chat with @ericschmidt, talking about how investing in AI &amp; Canadian innovation creates jobs and builds a str… https://t.co/OvXP9DA2O9"
395,Justin Trudeau,"Bonne discussion avec @ericschmidt sur l’investissement dans l’IA et l’innovation, pour créer des emplois et fortif… https://t.co/1m8r4fh7N6"
396,Justin Trudeau,RT @googlecanada: Watch tmw: @JustinTrudeau discusses Canada’s role in the world of A.I. with @ericschmidt at #GoNorth17 via @nytimes https…
397,Justin Trudeau,"Today in Ottawa, I met with the Modern Treaty and Self-Governing First Nations – here’s what we talked about:… https://t.co/Lvg8OjwLN4"
398,Justin Trudeau,Voici le sommaire de ma rencontre avec les Premières Nations autogouvernantes et signataires de traités modernes :… https://t.co/VA4Mh3mS6R
399,Justin Trudeau,RT @VeteransENG_CA: #Day1 of 11 Days of Remembrance… Show us your poppies! #CanadaRemembers https://t.co/h8bs4wi6eV
400,Justin Trudeau,RT @VeteransFR_CA: #Jour1 des 11 jours pour se souvenir… Montrez votre coquelicot! #LeCanadasesouvient https://t.co/mH1WbIQguS
